first,last,team,year,games_played,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,pfgm,pfg3m,pftm
LeBron,James,LAL,2019,67.0,34:34:00,9.6,19.45,2.21,6.34,3.94,5.69,0.99,6.85,7.84,10.21,1.16,0.54,3.9,1.76,25.34,0.493573264781491,0.34858044164037855,0.6924428822495605
James,Harden,HOU,2019,68.0,36:26:00,9.88,22.26,4.4,12.4,10.18,11.76,1.03,5.53,6.56,7.53,1.84,0.88,4.53,3.34,34.34,0.44384546271338726,0.3548387096774194,0.8656462585034014
Luka,Doncic,DAL,2019,61.0,33:33:00,9.52,20.57,2.8,8.87,6.98,9.21,1.28,8.11,9.39,8.82,1.02,0.23,4.26,2.51,28.84,0.46280991735537186,0.3156708004509583,0.757871878393051
Ben,Simmons,PHI,2019,57.0,35:24:00,6.58,11.35,0.04,0.12,3.25,5.23,1.98,5.81,7.79,7.98,2.09,0.58,3.51,3.26,16.44,0.5797356828193833,0.33333333333333337,0.6214149139579349
Russell,Westbrook,HOU,2019,57.0,35:56:00,10.6,22.47,0.96,3.74,5.09,6.67,1.75,6.16,7.91,7.04,1.63,0.35,4.47,3.51,27.25,0.4717400979083222,0.2566844919786096,0.7631184407796102
Chris,Paul,OKC,2019,70.0,31:31:00,6.2,12.67,1.59,4.34,3.61,3.99,0.37,4.61,4.99,6.74,1.59,0.16,2.3,2.26,17.6,0.48934490923441204,0.3663594470046083,0.9047619047619047
Devin,Booker,PHO,2019,70.0,35:48:00,8.96,18.33,2.01,5.69,6.69,7.27,0.41,3.83,4.24,6.51,0.7,0.26,3.77,3.04,26.61,0.48881614839061654,0.35325131810193316,0.9202200825309492
Domantas,Sabonis,IND,2019,62.0,34:51:00,7.39,13.68,0.27,1.08,3.45,4.77,3.05,9.39,12.44,5.0,0.76,0.48,2.74,3.15,18.5,0.5402046783625731,0.25,0.7232704402515724
Jayson,Tatum,BOS,2019,66.0,34:21:00,8.36,18.58,2.86,7.11,3.85,4.74,0.97,6.0,6.97,3.03,1.41,0.86,2.35,2.06,23.44,0.44994617868675996,0.4022503516174402,0.8122362869198312
Nikola,Jokic,DEN,2019,73.0,32:00:00,7.74,14.67,1.1,3.49,3.37,4.12,2.27,7.47,9.74,7.01,1.16,0.6,3.1,3.04,19.95,0.5276073619631902,0.3151862464183381,0.8179611650485437
